Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Benthic Invertebrate Community (Great Lakes nearshore areas) - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,This dataset contains information on benthic invertebrate community structure of samples collected from nearshore index monitoring stations within a Great Lake basin each year.,"April 8, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Benthic Invertebrate Neonicotinoid Monitoring Study - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"The Ministry of the Environment  Conservation and Parks started the Multi-Media Monitoring Study in 2015  in support of Ontario's Pollinator Health Action
Plan  to measure changes in neonicotinoid insecticide concentrations in the
environment following restrictions on the use of neonicotinoid-treated corn
and soybean seeds.","November 30, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Birth registrations in Ontario (by location) - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,CSV,For privacy purposes  only registration counts greater than 5 are available.,"June 4, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Birth registrations in Ontario (by residence) - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,CSV,"For privacy purposes  only registration counts greater than 5 are available.
Data was not collected before 1979.","June 4, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Black and white aerial forestry photo collection database - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,ZIP,"A database of geospatial coordinates that represent points of reference for
photos that are held in the Archives' of Ontario's collection. The photos
themselves are not part of the dataset.","June 10, 2013",Open Government Licence – Ontario,Yearly,,Ontario
Border crossings - Dataset - Ontario Data Catalogue,Transportation,ZIP,Border crossings are a feature included on the Official Road Map of Ontario (ORM) for information purposes to the travelling public. Included are highway-land and ferry crossings. It was created as part of the Digital Cartographic Reference Base (DCRB) for the production of the ORM.,"September 19, 2023",Open Government Licence – Ontario,Biannually,,Ontario
Borehole - Dataset - Ontario Data Catalogue,Mines,ZIP,"A borehole is a general term for any narrow shaft drilled in the ground 
either vertically or horizontally.","August 30, 2018",Open Government Licence – Ontario,Historical,,Ontario
Breakdown of COVID-19 positive hospital admissions - Dataset - Ontario Data Catalogue,Health,CSV,As of June 16  all COVID-19 datasets will be updated weekly on Thursdays by 2pm.,"October 12, 2023",Open Government Licence – Ontario,Daily,,Ontario
Bridge conditions - Dataset - Ontario Data Catalogue,Transportation,CSV,"All bridges in Ontario are inspected every 2 years using the Ontario Structure
Inspection Manual (OSIM) format. The weighted condition of all elements is
summarized in the Bridge Condition Index (BCI). More details about the BCI can
be found on the Bridge Safety page on the Ministry of Transportation website.","June 9, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Brief Child and Family Phone Interview (BCFPI) new referrals - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The BCFPI is a structured interview format  administered over the telephone
with parents  teachers or adolescents. It is recommended that BCFPIs are
completed at intake  prior to clinical assessment and treatment.","April 1, 2016",Open Government Licence – Ontario,Historical,,Ontario
Broadscale Monitoring Program Lake Water Chemistry - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,In 2005  the Province of Ontario implemented its Ecological Framework for Recreational Fisheries Management  a component of which was the establishment of standardized  long-term monitoring of the province’s fisheries resource  referred to as Broadscale Monitoring.,"January 9, 2023",Open Government Licence – Ontario,Yearly,,Ontario
"Built Boundary for the Growth Plan for the Greater Golden Horseshoe, 2006 - Dataset - Ontario Data Catalogue",Municipal Affairs and Housing,,"The built boundary identifies built-up urban areas across the Greater Golden
Horseshoe. It is a fixed line that reflects what was built and on the ground
when the Growth Plan came into effect in June 2006. The boundaries are an
important implementation and monitoring tool for the Growth Plan for the
Greater Golden Horseshoe. The built boundary will allow the province and
others to measure intensification and redevelopment within the built-up area 
and also allow us to monitor suburban development outside the built-up area.
The built boundary was released in its final form on April 2  2008  along with
the methodology used to create it.","April 2, 2008",Open Government Licence – Ontario,As required,,Ontario
Built-Up Area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Built-Up Areas are man-made land cover features  ranging from small hamlets at
rural cross roads to large cities.","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
Bumble Bee Diversity and Abundance Survey - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,"The Ministry of the Environment  Conservation and Parks started a project to
characterize the number of species of bumble bees and the relative abundances
of these species in southwestern Ontario in support of the Pollinator Health
Action Plan.","November 30, 2020",Open Government Licence – Ontario,Yearly,,Ontario
COVID-19 Vaccine Data in Ontario - Dataset - Ontario Data Catalogue,Health,CSV,As of June 16  all COVID-19 datasets will be updated weekly on Thursdays by 2pm.,"June 23, 2022",Open Government Licence – Ontario,Daily,,Ontario
"COVID-19 cases in hospital and ICU, by Ontario Health (OH) region - Dataset - Ontario Data Catalogue",Health,CSV,Due to technical issues  data for September 9  2023 onwards are not currently available.,"September 29, 2023",Open Government Licence – Ontario,Daily,,Ontario
COVID-19 testing locations - Dataset - Ontario Data Catalogue,Finance,CSV,Get a list of COVID-19 assessment centres. Before you go  you should check if:,"September 27, 2022",Open Government Licence – Ontario,As required,,Ontario
COVID-19 testing of inmates in Ontario’s Provincial Correctional Institutions - Dataset - Ontario Data Catalogue,Solicitor General,CSV,This dataset compiles daily snapshots of reported data on 2019 Novel Coronavirus (COVID-19) testing of inmates in Ontario's Provincial Correctional Institutions.,"January 13, 2022",Open Government Licence – Ontario,Never,,Ontario
Cancer drugs funded by Ontario Public Drug Programs - Dataset - Ontario Data Catalogue,Health,CSV,This dataset includes information on cancer drugs  including:,"February 1, 2019",King's Printer for Ontario,Yearly,,Ontario
Stream Neonicotinoid Monitoring Study - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,"The Ministry of the Environment  Conservation and Parks started the Multi-Media Monitoring Study in 2015  in support of Ontario's Pollinator Health Action
Plan  to measure changes in neonicotinoid insecticide concentrations in the
environment following restrictions on the use of neonicotinoid-treated corn
and soybean seeds.","November 30, 2020",Open Government Licence – Ontario,Historical,,Ontario
Sudbury Area Reference Lakes Water Quality - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,Water chemistry data with geographic coordinates from lakes primarily in the Sudbury area of Ontario since 1981. Several lakes spread throughout the Sudbury acid rain damage zone had a natural buffering capacity protecting them from experiencing a severe drop in lake pH. Twenty-two of these lakes were selected to act as a local non-acidified reference set  for intermittent monitoring of baseline conditions in the region.,"January 4, 2023",Open Government Licence – Ontario,Periodically,,"Sudbury region, Northeastern Ontario"
"Stewardship Zone, Council Area and Location - Dataset - Ontario Data Catalogue",Natural Resources and Forestry,ZIP,The Ontario Stewardship Program has established Stewardship Councils  across Ontario.,"March 30, 2011",Open Government Licence – Ontario,Never,,Ontario
Sustainable Forest Licences | Ontario.ca,,,,,,,,
Table of Drinking Water Threats - 2017-2018 table of drinking water threats - Ontario Data Catalogue,,,,,,,,
Tax credits and benefits – inflation adjustment - Dataset - Ontario Data Catalogue,Finance,CSV,"The data includes the following information for various tax credits and
benefits:","November 29, 2022",Open Government Licence – Ontario,Yearly,,Ontario
The Acidic Precipitation in Ontario Study (A.P.I.O.S.) - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,CSV,The Acidic Precipitation in Ontario Study (A.P.I.O.S.) was established in 1979 by the Ontario Ministry of the Environment to protect the environment from the detrimental effects of acidic deposition and determine the effects of acidic deposition on terrestrial ecosystems. The effect of acid inputs on the environment depends on the quantity and acidity of atmospheric inputs  and the buffering capacity of the terrestrial and aquatic ecosystems. The effect of acidic precipitation on soil is potentially significant because the soil is the reservoir of plant nutrients and the source of much of the water for aquatic systems. Changes in the soil's chemistry may therefore be reflected in both the terrestrial and aquatic environments.,"May 20, 2020",Open Government Licence – Ontario,As required,,
The Economic Impact of Tourism - Dataset - Ontario Data Catalogue,Tourism  Culture and Sport,XLSX,"Data estimating the direct  indirect and induced impacts of tourism receipts
and visitor spending on gross domestic product  labour income and employment
in Ontario.","July 31, 2023",Open Government Licence – Ontario,Yearly,,Ontario
The Ontario Wildlife Damage Compensation Program fair market value valuation table - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,CSV,"This dataset provides standardized compensation rates and premiums for the 
Ontario Wildlife Damage Compensation Program (OWDCP).","September 29, 2023",Open Government Licence – Ontario,Monthly,,Ontario
Tile Drainage Area,,,,,,,,
Dataset - Ontario Data Catalogue,,,,,,,,
Municipal parks - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"Municipal Parks are public lands set aside for recreation purposes or to
protect natural and cultural environments.","July 2, 2013",Open Government Licence – Ontario,Other,,Ontario
National Wildlife Area - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,PDF,"National Wildlife Areas are lands designated by Order-in-Council under the
Canada Wildlife Act (1973). Most are on Crown Lands and are dedicated to
providing or enhancing habitat for waterfowl  upland game birds  or game
mammals.","July 2, 2013",Open Government Licence – Ontario,As required,,Ontario
"Neighbours, Friends and Families campaign - Dataset - Ontario Data Catalogue",Children  Community and Social Services,CSV,"This campaign helps individuals recognize the signs of abuse and understand
what they can do to help.","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Newcomer Settlement Program - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,XLSX,"The program provides funding to settlement agencies across Ontario. Funding is
used to help newcomers settle and integrate into Canadian society.","January 6, 2017",Open Government Licence – Ontario,Yearly,,Ontario
Non-violent crime severity - Dataset - Ontario Data Catalogue,Solicitor General,CSV,"Data from the Police Reported Crime Severity Index. Measures changes in the
level of severity of crime in Canada from year to year.","April 30, 2015",Open Government Licence – Ontario,Never,,Canada
Non-government agency Nature Reserve - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,PDF,NGO Nature Reserves are polygon features describing lands held by nature trusts and other non-government agencies for the purpose of nature conservation.,"July 2, 2013",Open Government Licence – Ontario,Never,,Ontario
Number of Youth who Re-offend - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"This dataset represents the number of youth who re-offend and were convicted
of a criminal offence within 2 years of completing a youth community
disposition (probation order)  or following the completion of a youth custody
sentence of 6 months or more.","April 29, 2015",Open Government Licence – Ontario,Other,,Ontario
Number of elementary and secondary schools by school board/school authority - Dataset - Ontario Data Catalogue,Education,TXT,"The number of publicly funded elementary and secondary schools.
Data includes:","April 21, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Number of full-time equivalent educators by gender and school board in Ontario - Dataset - Ontario Data Catalogue,Education,TXT,The data includes:,"December 15, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Number of youth in custody and detention centres/facilities - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,The data is organized by:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Nurse Practitioner Led Clinic (NPLC) locations - Dataset - Ontario Data Catalogue,Health,,"Geographic information on the locations of Nurse Practitioner Led Clinics
(NPLC). These are primary health care organizations that provide
comprehensive  accessible  person centred  and co-ordinated services for
people of all ages and stages of life in over 20 communities across Ontario.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Nursing station locations - Dataset - Ontario Data Catalogue,Health,,This file contains geographic information on the locations of nursing stations that fall under the Underserviced Area Program (UAP) of the Northern Health Programs (NHP). The UAP is  one of a number of supports provided by the ministry to help rural  remote and northern communities recruit and retain health professionals.,"April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
OPP Missing Persons Annual Report Data - Dataset - Ontario Data Catalogue,Solicitor General,CSV,Under Section 8 of the Missing Persons Act  2018  police services are required to report annually on their use of urgent demands for records under the Act and the Ministry of the Solicitor General is required to make the OPP’s annual report data publicly available.,"May 30, 2023",Open Government Licence – Ontario,Yearly,,Ontario
OPS workforce demographics - Dataset - Ontario Data Catalogue,Treasury Board Secretariat,CSV,"The dataset highlights key OPS workforce demographics extracted from the OPS
payroll reporting system (WIN)  including:","July 7, 2023",Open Government Licence – Ontario,Yearly,,Ontario
OSAP Repayment Assistance Plan usage - Dataset - Ontario Data Catalogue,Colleges and Universities,XLSX,Data on the number of OSAP loan recipients who received repayment assistance:,"January 31, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Ontario Benthos Biomonitoring Network - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,Get data describing benthic-invertebrate (bottom dwelling aquatic invertebrates) community structure and habitat conditions in various waterbodies.,"May 31, 2021",Open Government Licence – Ontario,Yearly,,Ontario
Ontario Bridge Training Program - Dataset - Ontario Data Catalogue,Labour  Immigration  Training and Skills Development,CSV,"The program helps skilled newcomers enter Ontario's labour market without
duplicating their existing credentials.","April 29, 2015",Open Government Licence – Ontario,Yearly,,Ontario
