Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
10 Year Cycling Network Plan – On-Street (2016) - City of Toronto Open Data Portal,Transportation Services,shp,"On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten years.","Jul 23, 2019",Open Government License - Toronto,As available,75%
10 Year Cycling Network Plan – Trails (2016) - City of Toronto Open Data Portal,Transportation Services,shp,"On June 9, 2016 Toronto City Council approved a Cycling Network Plan to Connect, Grow and Renew infrastructure for Toronto's cycling routes over the next ten years.","Jul 23, 2019",Open Government License - Toronto,As available,75%
2013 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment survey was conducted by City staff, community partner agencies and volunteers on April 17th, 2013. Just under two thousand individuals experiencing homelessness provided responses. Respondents were surveyed outdoors, in shelter locations, health and treatment facilities and correctional facilities. The results of the 2013 Street Needs Assessment were summarized in a staff report and a statistical results report, approved by Council in October 2013.","May 1, 2014",Open Government License - Toronto,Will not be Refreshed,75%
2018 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto on April 26, 2018. The results provide a snapshot of the scope and profile of the City's homeless population. The results also give people experiencing homelessness a voice in the services they need to find and keep housing. The 2018 SNA is the City's fourth homeless count and survey and was part of a coordinated point-in-time count conducted by communities across Canada and Ontario. The results of the 2018 Street Needs Assessment were summarized in a report and key highlights slide deck.","Dec 31, 2018",Open Government License - Toronto,Will not be Refreshed,75%
2021 Street Needs Assessment Results - City of Toronto Open Data Portal,"Shelter, Support & Housing Administration",xlsx,"The Street Needs Assessment (SNA) is a survey and point-in-time count of people experiencing homelessness in Toronto conducted in April, 2021 led by the City’s Shelter, Support and Housing Administration (SSHA) in collaboration with community partners in the homelessness sector. The results provide a snapshot of the scope and profile of people experiencing homelessness in Toronto and give people experiencing homelessness a voice in the services they need to find and keep housing. ","Sept 30, 2022",Open Government License - Toronto,Will not be Refreshed,50%
2022 – 2024 Cycling Program - City of Toronto Open Data Portal,Transportation Services,zip,"Toronto's Cycling Network Plan consists of three components: a Long-Term Cycling Network Vision, the Major City-Wide Cycling Routes, and a three year rolling Near-Term Implementation Program. For more information about the plan, visit toronto.ca/cyclingnetwork","Dec 20, 2022",Open Government License - Toronto,As available,50%
311 Contact Centre Performance Metrics - City of Toronto Open Data Portal,311 Toronto,web,"This dataset outlines a number of key performance metrics of the 311 Contact Centre calculated for daily, weekly, monthly and yearly bases. This information is used by 311 for planning purposes and will help provide an understanding of the services that 311 provides, peak service level periods and overall trends in providing services to the City of Toronto.","Oct 30, 2019",Open Government License - Toronto,Monthly,75%
311 - Open311 API Calls for Service Requests - City of Toronto Open Data Portal,311 Toronto,doc,"This dataset is retired as of December 5, 2021 & will not be updated.","Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
311 Service Request Codes - City of Toronto Open Data Portal,311 Toronto,xls,This data set is retired. A new data set replaces at: 311 Service Requests - Customer Initiated,"Jul 23, 2019",Open Government License - Toronto,Will not be Refreshed,
311 Service Requests - Customer Initiated - City of Toronto Open Data Portal,311 Toronto,zip,"The dataset contains information on customer initiated service requests received by 311 Toronto. This data was collected from multiple channels including telephone, fax, email, online self-serve requests, mobile API and Twitter.","Oct 8, 2023",Open Government License - Toronto,Monthly,90%
